Seconds,Data,value,Altitude
1436028520,Heart Rate,172.0,61.49400000000001
1436028520,Pace,2.6760504636512223,61.49400000000001
1436028530,Distance,1646.160678655918,70.488
1436028530,Heart Rate,172.5,70.488
1436028530,Pace,2.15377139687489,70.488
1436028540,Distance,1670.3945567005242,77.65100000000001
1436028540,Heart Rate,171.5,77.65100000000001
1436028540,Pace,2.725313479318447,77.65100000000001
1436028550,Distance,1701.8941041593084,85.908
1436028550,Heart Rate,170.0,85.908
1436028550,Pace,3.237464640959183,85.908
1436028560,Distance,1732.205154764834,87.324
1436028560,Heart Rate,169.0,87.324
1436028560,Pace,2.529450099305609,87.324
1436028570,Distance,1754.9649907831677,88.058
1436028570,Heart Rate,168.0,88.058
1436028570,Pace,2.691026183216377,88.058
1436028580,Distance,1785.7734323164,72.162
1436028580,Heart Rate,170.0,72.162
1436028580,Pace,3.1139258283281834,72.162
1436028590,Distance,1809.8634400221786,68.258
1436028590,Heart Rate,169.0,68.258
1436028590,Pace,2.094340898161158,68.258
1436028600,Distance,1839.6794101620094,64.511
1436028600,Heart Rate,167.5,64.511
1436028600,Pace,3.5505471564775464,64.511
1436028610,Distance,1870.77675446381,57.964
1436028610,Heart Rate,163.0,57.964
1436028610,Pace,2.8837251308946863,57.964
1436028620,Distance,1901.8918169320198,55.814
1436028620,Heart Rate,162.5,55.814
1436028620,Pace,3.0722152534649694,55.814
1436028630,Distance,1927.6720705026376,67.204
1436028630,Heart Rate,163.5,67.204
1436028630,Pace,2.538615494949454,67.204
1436028640,Distance,1958.695122042835,69.79400000000001
1436028640,Heart Rate,164.5,69.79400000000001
1436028640,Pace,3.2956091503434664,69.79400000000001
1436028650,Distance,1991.5217120355112,66.82544809235
1436028650,Heart Rate,166.5,66.82544809235
1436028650,Pace,3.2669997998963707,66.82544809235
1436028660,Distance,2024.796487947239,79.20200000000001
1436028660,Heart Rate,168.0,79.20200000000001
1436028660,Pace,3.294114222177245,79.20200000000001
1436028670,Distance,2056.252513867862,71.97
1436028670,Heart Rate,165.0,71.97
1436028670,Pace,3.1704558769298954,71.97
1436028680,Distance,2099.131417043668,43.43
1436028680,Heart Rate,164.625,43.43
